iter	RMSE
0	882433.7931
1	850673.5498
2	839311.9632
3	836070.1904
4	814754.7831
5	792766.5557
6	788718.8689
7	782354.2667
8	781564.6419
9	778422.5012
10	770367.3696
11	765215.6394
12	757647.8727
13	750188.0079
14	749762.4918
15	743068.3708
16	731579.8108
17	727145.0299
18	726701.4854
19	726160.3218
20	722541.6298
21	721828.8252
22	719215.7483
23	719100.6709
24	713906.4767
25	706076.1382
26	700983.2874
27	693944.9034
28	687842.6237
29	671111.9991
30	663496.5106
31	658466.4197
32	643381.6066
33	637395.0482
34	632149.0813
35	621644.036
36	613883.9997
37	608224.088
38	603442.1035
39	599206.0994
40	595419.7196
41	584942.4511
42	581391.7578
43	572313.6609
44	566914.3249
45	563839.1783
46	560166.3357
47	547677.1475
48	544873.1323
49	541522.4279
50	539027.7311
51	536044.799
52	529936.47
53	516681.8115
54	504758.5655
55	502364.8085
56	500250.8578
57	497403.1666
58	493568.7375
59	491637.2944
60	489072.1781
61	487358.9524
62	472679.1159
63	471525.5682
64	468443.4877
65	466841.2218
66	464451.9218
67	462340.1766
68	460914.4577
69	454607.0198
70	452705.1912
71	441695.0915
72	440370.4943
73	432337.552
74	430042.3159
75	428829.9241
76	421003.0206
77	419176.9189
78	409957.2904
79	409170.7637
80	407517.3906
81	406057.0396
82	398728.1611
83	390664.2865
84	383429.293
85	382144.3848
86	376932.7443
87	373455.9656
88	371628.5054
89	369188.8777
90	368153.017
91	365288.8868
92	364378.4579
93	363417.6461
94	360629.499
95	358636.3759
96	351736.4219
97	350253.9699
98	348946.1002
99	347242.6956
