iter	Passed	Remaining
0	0	97
1	1	92
2	2	91
3	3	90
4	4	90
5	5	90
6	6	89
7	7	87
8	8	87
9	9	86
10	10	84
11	11	83
12	12	82
13	13	81
14	14	80
15	15	79
16	15	78
17	16	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	71
23	22	70
24	23	69
25	24	68
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	30	61
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	52
42	39	51
43	40	50
44	40	50
45	41	49
46	42	48
47	43	47
48	43	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
